# Time,VehicleID,EGO,X,Y,Z,Roll,Pitch,Yaw,Vx,Vy,Vz,Ax,Ay,Az,Wx,Wy,Wz,Throttle,Steer,Brake
8.024331092834472656e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898726272583007812e+01,-3.898726272583007812e+01,1.980754750547930598e-04,9.037767791748046875e+01,1.364922645734623075e-04,5.864906427177629666e-08,-5.472329576150514185e-06,-2.446970669552683830e-03,1.804374534231101279e-07,2.205429882451426238e-05,-3.942606225609779358e-02,2.937989309430122375e-03,2.985139690281357616e-05,2.319384684312808531e-08,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
8.024331092834472656e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898726272583007812e+01,-3.898726272583007812e+01,1.980754750547930598e-04,9.037767791748046875e+01,1.364922645734623075e-04,4.584549984087971097e-08,-4.841063855565153062e-06,-1.178502570837736130e-03,-1.403072644734493224e-07,6.917695827723946422e-06,1.390044856816530228e-02,2.598511753603816032e-03,2.733623477979563177e-05,1.747139677377163025e-08,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
8.115584850311279297e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898726272583007812e+01,-3.898726272583007812e+01,1.980754750547930598e-04,9.037767791748046875e+01,1.364922645734623075e-04,4.584549984087971097e-08,-4.841063855565153062e-06,-1.178502570837736130e-03,-1.403072644734493224e-07,6.917695827723946422e-06,1.390044856816530228e-02,2.598511753603816032e-03,2.733623477979563177e-05,1.747139677377163025e-08,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
8.115584850311279297e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898726272583007812e+01,-3.898726272583007812e+01,1.980754750547930598e-04,9.037767791748046875e+01,1.364922645734623075e-04,4.584549984087971097e-08,-4.841063855565153062e-06,-1.178502570837736130e-03,-1.403072644734493224e-07,6.917695827723946422e-06,1.390044856816530228e-02,2.598511753603816032e-03,2.733623477979563177e-05,1.747139677377163025e-08,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
8.158833742141723633e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898725891113281250e+01,-3.898725891113281250e+01,3.824905725196003914e-04,9.037767791748046875e+01,1.352594990748912096e-04,-5.227851485045675872e-09,-1.402608177158981562e-06,-1.449364503969263751e-06,-1.180917024612426758e-06,7.950390863697975874e-05,2.721580117940902710e-02,7.494555902667343616e-04,-3.076016810155124404e-06,-1.897649148929758667e-08,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
8.158833742141723633e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898725891113281250e+01,-3.898725891113281250e+01,3.824905725196003914e-04,9.037767791748046875e+01,1.352594990748912096e-04,-5.227851485045675872e-09,-1.402608177158981562e-06,-1.449364503969263751e-06,-1.180917024612426758e-06,7.950390863697975874e-05,2.721580117940902710e-02,7.494555902667343616e-04,-3.076016810155124404e-06,-1.897649148929758667e-08,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
8.158833742141723633e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898725891113281250e+01,-3.898725891113281250e+01,3.824905725196003914e-04,9.037767791748046875e+01,1.352594990748912096e-04,6.058549928411594010e-08,-1.764600597198295873e-06,8.268689853139221668e-04,2.000081167352618650e-06,-1.100102326745400205e-05,2.517276257276535034e-02,9.453328093513846397e-04,2.952959948743227869e-05,-3.960432870542263117e-09,0.000000000000000000e+00,8.077621168922632933e-05,1.000000000000000000e+00
8.191739082336425781e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898725891113281250e+01,-3.898725891113281250e+01,3.824905725196003914e-04,9.037767791748046875e+01,1.352594990748912096e-04,6.058549928411594010e-08,-1.764600597198295873e-06,8.268689853139221668e-04,2.000081167352618650e-06,-1.100102326745400205e-05,2.517276257276535034e-02,9.453328093513846397e-04,2.952959948743227869e-05,-3.960432870542263117e-09,0.000000000000000000e+00,8.077621168922632933e-05,1.000000000000000000e+00
8.191739082336425781e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898725891113281250e+01,-3.898725891113281250e+01,3.824905725196003914e-04,9.037767791748046875e+01,1.352594990748912096e-04,5.616260523311211728e-08,-1.919233909575268626e-06,-1.920670038089156151e-03,-1.345618301229478675e-07,-4.704553248302545398e-06,-8.359093964099884033e-02,1.028399332426488400e-03,2.699396827665623277e-05,-2.282759536953449242e-09,0.000000000000000000e+00,8.077621168922632933e-05,1.000000000000000000e+00
8.224607944488525391e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898725891113281250e+01,-3.898725891113281250e+01,3.824905725196003914e-04,9.037767791748046875e+01,1.352594990748912096e-04,5.616260523311211728e-08,-1.919233909575268626e-06,-1.920670038089156151e-03,-1.345618301229478675e-07,-4.704553248302545398e-06,-8.359093964099884033e-02,1.028399332426488400e-03,2.699396827665623277e-05,-2.282759536953449242e-09,0.000000000000000000e+00,8.077621168922632933e-05,1.000000000000000000e+00
8.224607944488525391e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898725891113281250e+01,-3.898725891113281250e+01,3.824905725196003914e-04,9.037767791748046875e+01,1.352594990748912096e-04,5.616260523311211728e-08,-1.919233909575268626e-06,-1.920670038089156151e-03,-1.345618301229478675e-07,-4.704553248302545398e-06,-8.359093964099884033e-02,1.028399332426488400e-03,2.699396827665623277e-05,-2.282759536953449242e-09,0.000000000000000000e+00,8.077621168922632933e-05,1.000000000000000000e+00
8.257930755615234375e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898725891113281250e+01,-3.898725891113281250e+01,4.849433898925781250e-04,9.037767791748046875e+01,1.349050289718434215e-04,4.923209218077317928e-08,-1.915227130666607991e-06,-1.213017385452985764e-03,-2.079810457189523731e-07,1.202413244527633651e-07,2.123628370463848114e-02,1.026797457598149776e-03,2.251342993986327201e-05,1.248543712861760469e-09,0.000000000000000000e+00,8.077621168922632933e-05,1.000000000000000000e+00
8.257930755615234375e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898725891113281250e+01,-3.898725891113281250e+01,4.849433898925781250e-04,9.037767791748046875e+01,1.349050289718434215e-04,4.923209218077317928e-08,-1.915227130666607991e-06,-1.213017385452985764e-03,-2.079810457189523731e-07,1.202413244527633651e-07,2.123628370463848114e-02,1.026797457598149776e-03,2.251342993986327201e-05,1.248543712861760469e-09,0.000000000000000000e+00,8.077621168922632933e-05,1.000000000000000000e+00
8.322203397750854492e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898725891113281250e+01,-3.898725891113281250e+01,4.849433898925781250e-04,9.037767791748046875e+01,1.349050289718434215e-04,4.478032522570174478e-08,-1.712820221655420028e-06,-2.507756789782433771e-06,2.541403546274523251e-06,3.163339897582773119e-06,3.218805044889450073e-02,9.189687552861869335e-04,1.727280687191523612e-05,5.669806402153199087e-09,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
8.322203397750854492e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898725891113281250e+01,-3.898725891113281250e+01,4.849433898925781250e-04,9.037767791748046875e+01,1.349050289718434215e-04,4.478032522570174478e-08,-1.712820221655420028e-06,-2.507756789782433771e-06,2.541403546274523251e-06,3.163339897582773119e-06,3.218805044889450073e-02,9.189687552861869335e-04,1.727280687191523612e-05,5.669806402153199087e-09,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
8.322203397750854492e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898725891113281250e+01,-3.898725891113281250e+01,4.849433898925781250e-04,9.037767791748046875e+01,1.349050289718434215e-04,4.478032522570174478e-08,-1.712820221655420028e-06,-2.507756789782433771e-06,2.541403546274523251e-06,3.163339897582773119e-06,3.218805044889450073e-02,9.189687552861869335e-04,1.727280687191523612e-05,5.669806402153199087e-09,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
8.379825830459594727e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898725891113281250e+01,-3.898725891113281250e+01,4.849433898925781250e-04,9.037767791748046875e+01,1.349050289718434215e-04,-2.694914158496430900e-08,-1.597508457962248940e-06,4.699244746007025242e-04,-1.244818463419505861e-06,2.001160964937298559e-06,8.198755793273448944e-03,8.566304459236562252e-04,-2.063571264443453401e-05,7.620663544649630694e-10,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
8.379825830459594727e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898725891113281250e+01,-3.898725891113281250e+01,4.849433898925781250e-04,9.037767791748046875e+01,1.349050289718434215e-04,-2.694914158496430900e-08,-1.597508457962248940e-06,4.699244746007025242e-04,-1.244818463419505861e-06,2.001160964937298559e-06,8.198755793273448944e-03,8.566304459236562252e-04,-2.063571264443453401e-05,7.620663544649630694e-10,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
8.416947603225708008e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898725891113281250e+01,-3.898725891113281250e+01,6.147170206531882286e-04,9.037767791748046875e+01,1.357816800009459257e-04,9.350141993991201161e-09,-1.316473799306550063e-06,1.623587217181921005e-03,9.778434559848392382e-07,7.570614798169117421e-06,3.107779286801815033e-02,7.061527576297521591e-04,1.218256420543184504e-05,2.177339974984704440e-10,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
